name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D1 760	NIRSCWAMPLITUDE	S1	D1	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S1_D2 760	NIRSCWAMPLITUDE	S1	D2	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S1_D12 760	NIRSCWAMPLITUDE	S1	D12	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S2_D1 760	NIRSCWAMPLITUDE	S2	D1	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S2_D3 760	NIRSCWAMPLITUDE	S2	D3	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S3_D1 760	NIRSCWAMPLITUDE	S3	D1	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S3_D3 760	NIRSCWAMPLITUDE	S3	D3	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S3_D4 760	NIRSCWAMPLITUDE	S3	D4	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S3_D16 760	NIRSCWAMPLITUDE	S3	D16	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S4_D2 760	NIRSCWAMPLITUDE	S4	D2	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S4_D4 760	NIRSCWAMPLITUDE	S4	D4	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S4_D5 760	NIRSCWAMPLITUDE	S4	D5	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S4_D14 760	NIRSCWAMPLITUDE	S4	D14	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S4_D17 760	NIRSCWAMPLITUDE	S4	D17	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S5_D4 760	NIRSCWAMPLITUDE	S5	D4	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S5_D6 760	NIRSCWAMPLITUDE	S5	D6	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S5_D7 760	NIRSCWAMPLITUDE	S5	D7	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S5_D18 760	NIRSCWAMPLITUDE	S5	D18	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S6_D5 760	NIRSCWAMPLITUDE	S6	D5	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S6_D7 760	NIRSCWAMPLITUDE	S6	D7	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S6_D8 760	NIRSCWAMPLITUDE	S6	D8	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
S7_D6 760	NIRSCWAMPLITUDE	S7	D6	760.0	V	0.0	3.8138825324180017	Near Infrared Spectroscopy (continuous wave)	7.627765064836003	good	n/a
